id,price,brand,model,year,title_status,mileage,color,state,country
93,24500,bmw,door,2017,clean vehicle,17626,gray,michigan,usa
94,9300,ford,door,2017,clean vehicle,120353,white,texas,usa
95,39800,dodge,challenger,2015,clean vehicle,3641,white,pennsylvania,usa
96,53500,bmw,m,2017,clean vehicle,29355,blue,michigan,usa
97,15110,ford,door,2017,clean vehicle,39333,black,texas,usa
98,34000,ford,door,2015,clean vehicle,42930,white,pennsylvania,usa
99,26502,chevrolet,colorado,2017,clean vehicle,24993,black,michigan,usa
100,5990,ford,mpv,2017,clean vehicle,44929,black,texas,usa
101,13600,ford,focus,2018,clean vehicle,16971,black,south carolina,usa
102,23605,cadillac,door,2017,clean vehicle,35598,gray,michigan,usa
103,10780,ford,mpv,2017,clean vehicle,40455,white,texas,usa
104,13800,ford,focus,2018,clean vehicle,23164,white,south carolina,usa
105,25201,cadillac,door,2017,clean vehicle,19011,no_color,michigan,usa
106,7070,ford,mpv,2017,clean vehicle,45191,white,texas,usa
107,8700,ford,focus,2018,clean vehicle,21405,white,south carolina,usa
108,18003,chevrolet,malibu,2017,clean vehicle,19117,no_color,michigan,usa
109,8530,ford,door,2017,clean vehicle,42104,black,texas,usa
110,23100,dodge,durango,2018,clean vehicle,49496,white,south carolina,usa
111,24500,cadillac,door,2017,clean vehicle,32418,white,michigan,usa
112,7000,ford,mpv,2017,clean vehicle,29882,white,texas,usa
113,17000,ford,escape,2018,clean vehicle,34819,gold,south carolina,usa
114,34002,chevrolet,1500,2017,clean vehicle,31923,white,michigan,usa
115,6980,ford,mpv,2017,clean vehicle,29168,gray,texas,usa
116,25000,dodge,charger,2018,clean vehicle,28307,silver,michigan,usa
117,20802,chevrolet,colorado,2017,clean vehicle,33791,turquoise,michigan,usa
118,9200,ford,door,2017,clean vehicle,21770,black,texas,usa
119,26500,chrysler,pacifica,2017,clean vehicle,18375,gray,michigan,usa
120,24802,chevrolet,colorado,2017,clean vehicle,14158,gray,michigan,usa
121,7070,ford,mpv,2017,clean vehicle,30318,black,texas,usa
